# Generated by projects_and_tasks/test_access_matrix.py -- do not hand-edit.
# Regenerate with WORKROOM_UPDATE_ACCESS_BASELINE=1 and review the diff.
#
# Columns:
#   view         user_can_view_project
#   manage_proj  user_can_manage_project
#   manage_task  user_can_manage_task, task created by someone else
#   own_task     user_can_manage_task, task created by the actor
#   set_status   user_can_update_task_status
#   log_time     user_can_log_time
#   approve      user_can_approve_task, task created by someone else
#   deadline     user_can_extend_deadline
#
# Dimensions:
#   member  the actor ProjectMembership role on this project, or none
#   rel     none | creator (actor is created_by) | owner (actor is current_owner)
#           "both" is omitted: effective access is a max, so it adds nothing
#   asg     the actor is assigned a live task on this project

actor    | vis        | dept  | member  | rel     | asg | view manage_proj manage_task own_task set_status log_time approve deadline
------------------------------------------------------------------------------------------------------------------------------------
Owner    | private    | match | none    | none    | 0   | 1    1           1           1        0          1        0       0
Owner    | private    | match | none    | creator | 0   | 1    1           1           1        0          1        0       1
Owner    | private    | match | none    | owner   | 0   | 1    1           1           1        0          1        0       0
Owner    | private    | match | none    | none    | 1   | 1    1           1           1        1          1        0       0
Owner    | private    | match | none    | creator | 1   | 1    1           1           1        1          1        0       1
Owner    | private    | match | none    | owner   | 1   | 1    1           1           1        1          1        0       0
Owner    | private    | match | viewer  | none    | 0   | 1    1           1           1        0          1        0       0
Owner    | private    | match | viewer  | creator | 0   | 1    1           1           1        0          1        0       1
Owner    | private    | match | viewer  | owner   | 0   | 1    1           1           1        0          1        0       0
Owner    | private    | match | viewer  | none    | 1   | 1    1           1           1        1          1        0       0
Owner    | private    | match | viewer  | creator | 1   | 1    1           1           1        1          1        0       1
Owner    | private    | match | viewer  | owner   | 1   | 1    1           1           1        1          1        0       0
Owner    | private    | match | contrib | none    | 0   | 1    1           1           1        0          1        0       0
Owner    | private    | match | contrib | creator | 0   | 1    1           1           1        0          1        0       1
Owner    | private    | match | contrib | owner   | 0   | 1    1           1           1        0          1        0       0
Owner    | private    | match | contrib | none    | 1   | 1    1           1           1        1          1        0       0
Owner    | private    | match | contrib | creator | 1   | 1    1           1           1        1          1        0       1
Owner    | private    | match | contrib | owner   | 1   | 1    1           1           1        1          1        0       0
Owner    | private    | match | manager | none    | 0   | 1    1           1           1        0          1        0       0
Owner    | private    | match | manager | creator | 0   | 1    1           1           1        0          1        0       1
Owner    | private    | match | manager | owner   | 0   | 1    1           1           1        0          1        0       0
Owner    | private    | match | manager | none    | 1   | 1    1           1           1        1          1        0       0
Owner    | private    | match | manager | creator | 1   | 1    1           1           1        1          1        0       1
Owner    | private    | match | manager | owner   | 1   | 1    1           1           1        1          1        0       0
Owner    | private    | other | none    | none    | 0   | 1    1           1           1        0          1        0       0
Owner    | private    | other | none    | creator | 0   | 1    1           1           1        0          1        0       1
Owner    | private    | other | none    | owner   | 0   | 1    1           1           1        0          1        0       0
Owner    | private    | other | none    | none    | 1   | 1    1           1           1        1          1        0       0
Owner    | private    | other | none    | creator | 1   | 1    1           1           1        1          1        0       1
Owner    | private    | other | none    | owner   | 1   | 1    1           1           1        1          1        0       0
Owner    | private    | other | viewer  | none    | 0   | 1    1           1           1        0          1        0       0
Owner    | private    | other | viewer  | creator | 0   | 1    1           1           1        0          1        0       1
Owner    | private    | other | viewer  | owner   | 0   | 1    1           1           1        0          1        0       0
Owner    | private    | other | viewer  | none    | 1   | 1    1           1           1        1          1        0       0
Owner    | private    | other | viewer  | creator | 1   | 1    1           1           1        1          1        0       1
Owner    | private    | other | viewer  | owner   | 1   | 1    1           1           1        1          1        0       0
Owner    | private    | other | contrib | none    | 0   | 1    1           1           1        0          1        0       0
Owner    | private    | other | contrib | creator | 0   | 1    1           1           1        0          1        0       1
Owner    | private    | other | contrib | owner   | 0   | 1    1           1           1        0          1        0       0
Owner    | private    | other | contrib | none    | 1   | 1    1           1           1        1          1        0       0
Owner    | private    | other | contrib | creator | 1   | 1    1           1           1        1          1        0       1
Owner    | private    | other | contrib | owner   | 1   | 1    1           1           1        1          1        0       0
Owner    | private    | other | manager | none    | 0   | 1    1           1           1        0          1        0       0
Owner    | private    | other | manager | creator | 0   | 1    1           1           1        0          1        0       1
